total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3806456,257768.4324,1332.369369,1107199.009,1884792,14902688.25,4862324.541,10040363.71,8,1715372.973,24821.43694,274.9504505,3751,20,59618,61486.37683,lg
3806456,268944.4507,1343.347418,1107229.784,1884792,16330767.44,5997908.808,10332858.63,8,1716281.69,27651.34742,328.4647887,3751,20,23338,28754.08286,lg
3806456,268241.3333,1342.549296,1107152,1884792,16340777.73,5180364.582,11160413.15,8,1713757.746,30328.84977,339.314554,3751,20,23382,29759.88223,lg
3806456,266644.77,1340.971831,1107172.038,1884792,16294686.8,5766917.484,10527769.31,8,1711774.648,33007.77934,344.7042254,3751,20,23354,30196.38452,lg
3806456,249747.6872,1325.069959,1107657.86,1884792,12336641.09,3550451.852,8786189.235,8,1704296.296,36190.92593,230.1234568,3797,20,1258166,1099358.734,lg
3806456,239170.7793,1315.234742,1108194.554,1884792,16306185.13,5627982.347,10678202.78,8,1715830.986,39344.15962,347.5962441,3765,20,23337,30541.12861,lg
3806456,254428.9765,1330.00939,1108097.972,1884792,16295732.24,5567804.732,10727927.51,8,1711954.93,42012.93897,333.6478873,3794,20,23293,29485.67895,lg
3806456,253249.446,1328.906103,1108132.019,1884792,16308334.16,5720688.376,10587645.78,8,1709250.704,44675.79343,349.1596244,3794,20,23268,30823.38986,lg
3806456,268787.5357,1344.299107,1108269.786,1884792,14954931.5,4440709.214,10514222.29,8,1711714.286,47565.42857,270.9553571,3794,20,37172,38212.98792,lg
3806456,271152.186,1346.595349,1108285.005,1884792,16308699.72,4961930.94,11346768.78,8,1716926.512,50399.36744,339.9348837,3757,20,23445,29942.43847,lg
3806456,268320.0187,1343.640187,1108231.72,1884792,16308446.21,5177363.14,11131083.07,8,1714183.178,53084.6729,338.0140187,3757,20,23471,29806.26106,lg
